id,photo_num,filename,cloudinary_url,public_id,width,height,bytes
59,2,59_DENİZ ve KADIN_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218609/alan-art-coffee/eser_59_DEN%C4%B0Z_ve_KADIN_2.jpg,alan-art-coffee/eser_59_DENİZ_ve_KADIN_2,3000,4000,2138334
59,3,59_DENİZ ve KADIN_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218620/alan-art-coffee/eser_59_DEN%C4%B0Z_ve_KADIN_3.jpg,alan-art-coffee/eser_59_DENİZ_ve_KADIN_3,3000,4000,1644737
5,1,5_NİKE 3_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218629/alan-art-coffee/eser_5_N%C4%B0KE_3_1.jpg,alan-art-coffee/eser_5_NİKE_3_1,3000,4000,1637495
5,2,5_NİKE 3_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218642/alan-art-coffee/eser_5_N%C4%B0KE_3_2.jpg,alan-art-coffee/eser_5_NİKE_3_2,3000,4000,2013905
5,3,5_NİKE 3_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218674/alan-art-coffee/eser_5_N%C4%B0KE_3_3.jpg,alan-art-coffee/eser_5_NİKE_3_3,3000,4000,1548474
61,1,61_RENKLİ BALIKLAR_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218804/alan-art-coffee/eser_61_RENKL%C4%B0_BALIKLAR_1.jpg,alan-art-coffee/eser_61_RENKLİ_BALIKLAR_1,3000,4000,2172509
61,2,61_RENKLİ BALIKLAR_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218816/alan-art-coffee/eser_61_RENKL%C4%B0_BALIKLAR_2.jpg,alan-art-coffee/eser_61_RENKLİ_BALIKLAR_2,3000,4000,1367323
61,3,61_RENKLİ BALIKLAR_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218826/alan-art-coffee/eser_61_RENKL%C4%B0_BALIKLAR_3.jpg,alan-art-coffee/eser_61_RENKLİ_BALIKLAR_3,3000,4000,1343538
62,1,62_KEDİ ve KÖPEK_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218838/alan-art-coffee/eser_62_KED%C4%B0_ve_K%C3%96PEK_1.jpg,alan-art-coffee/eser_62_KEDİ_ve_KÖPEK_1,3000,4000,2152012
62,2,62_KEDİ ve KÖPEK_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218852/alan-art-coffee/eser_62_KED%C4%B0_ve_K%C3%96PEK_2.jpg,alan-art-coffee/eser_62_KEDİ_ve_KÖPEK_2,3000,4000,1896485
